,PointsTotal,DateParse,Squad,HA,P_color,rank,matchup,score_H,score_A,Points
1770,25,2017-12-26,Watford,H,#fbee23 ,10.0,Watford vs. Leicester City,2,1,3
1771,27,2017-12-26,Leicester City,A,#0053a0 ,8.0,Watford vs. Leicester City,2,1,0
1772,20,2017-12-26,Stoke City,A,#e03a3e,13.0,Huddersfield Town vs. Stoke City,1,1,1
1773,21,2017-12-26,Brighton,A,#005daa ,12.0,Chelsea vs. Brighton,2,0,0
1774,33,2017-12-26,Burnley,A,#800000 ,7.0,Manchester Utd vs. Burnley,2,2,1
1775,17,2017-12-26,Bournemouth,H,#8b0304 ,18.0,Bournemouth vs. West Ham,3,3,1
1776,58,2017-12-27,Manchester City,A,#6caddf ,1.0,Newcastle Utd vs. Manchester City,0,1,3
1777,18,2017-12-27,Newcastle Utd,H,#fafafa ,15.0,Newcastle Utd vs. Manchester City,0,1,0
1778,18,2017-12-28,Crystal Palace,H,#27409b ,16.0,Crystal Palace vs. Arsenal,2,3,0
1779,37,2017-12-28,Arsenal,A,#ef0107 ,6.0,Crystal Palace vs. Arsenal,2,3,3
1782,24,2017-12-30,Huddersfield Town,H,#176fc0,11.0,Huddersfield Town vs. Burnley,0,0,1
1783,41,2017-12-30,Liverpool,H,#dd0000 ,4.0,Liverpool vs. Leicester City,2,1,3
1785,22,2017-12-30,Brighton,A,#005daa ,12.0,Newcastle Utd vs. Brighton,0,0,1
1787,20,2017-12-30,Southampton,A,#ed1a3b ,13.0,Manchester Utd vs. Southampton,0,0,1
1793,27,2017-12-30,Everton,A,#0d00e9 ,9.0,Bournemouth vs. Everton,2,1,0
1795,19,2017-12-30,Newcastle Utd,H,#fafafa ,16.0,Newcastle Utd vs. Brighton,0,0,1
1798,45,2017-12-30,Chelsea,H,#034694 ,2.0,Chelsea vs. Stoke City,5,0,3
1803,44,2017-12-30,Manchester Utd,H,#b40509 ,3.0,Manchester Utd vs. Southampton,0,0,1
1804,34,2017-12-30,Burnley,A,#800000 ,7.0,Huddersfield Town vs. Burnley,0,0,1
1807,25,2017-12-30,Watford,H,#fbee23 ,10.0,Watford vs. Swansea City,1,2,0
1808,20,2017-12-30,Stoke City,A,#e03a3e,15.0,Chelsea vs. Stoke City,5,0,0
1809,27,2017-12-30,Leicester City,A,#0053a0 ,8.0,Liverpool vs. Leicester City,2,1,0
1812,20,2017-12-30,Bournemouth,H,#8b0304 ,14.0,Bournemouth vs. Everton,2,1,3
1813,16,2017-12-30,Swansea City,A,#ffffff ,19.0,Watford vs. Swansea City,1,2,3
1814,38,2017-12-31,Arsenal,A,#ef0107 ,5.0,West Bromwich Albion vs. Arsenal,1,1,1
1815,19,2017-12-31,Crystal Palace,H,#27409b ,17.0,Crystal Palace vs. Manchester City,0,0,1
1816,59,2017-12-31,Manchester City,A,#6caddf ,1.0,Crystal Palace vs. Manchester City,0,0,1
1817,16,2017-12-31,West Bromwich Albion,H,#122f67,19.0,West Bromwich Albion vs. Arsenal,1,1,1
1818,47,2018-01-01,Manchester Utd,A,#b40509 ,2.0,Everton vs. Manchester Utd,0,2,3
1819,44,2018-01-01,Liverpool,A,#dd0000 ,4.0,Burnley vs. Liverpool,1,2,3
1820,30,2018-01-01,Leicester City,H,#0053a0 ,8.0,Leicester City vs. Huddersfield Town,3,0,3
1821,24,2018-01-01,Huddersfield Town,A,#176fc0,11.0,Leicester City vs. Huddersfield Town,3,0,0
1822,27,2018-01-01,Everton,H,#0d00e9 ,9.0,Everton vs. Manchester Utd,0,2,0
1823,34,2018-01-01,Burnley,H,#800000 ,7.0,Burnley vs. Liverpool,1,2,0
1824,20,2018-01-01,Stoke City,H,#e03a3e,16.0,Stoke City vs. Newcastle Utd,0,1,0
1825,22,2018-01-01,Newcastle Utd,A,#fafafa ,13.0,Stoke City vs. Newcastle Utd,0,1,3
1826,21,2018-01-01,Bournemouth,A,#8b0304 ,14.0,Brighton vs. Bournemouth,2,2,1
1827,23,2018-01-01,Brighton,H,#005daa ,12.0,Brighton vs. Bournemouth,2,2,1
1828,25,2018-01-02,Watford,A,#fbee23 ,10.0,Manchester City vs. Watford,3,1,0
